4	2	1	0.411672
0	0	0	1.000000
0	0	1	1.000000
0	0	2	1.000000
0	0	3	1.000000
0	1	0	1.000000
0	1	1	1.000000
4	1	1	0.298107
0	1	2	1.000000
0	1	3	1.000000
0	2	0	1.000000
0	2	1	1.000000
0	2	2	1.000000
0	2	3	1.000000
0	3	0	1.000000
0	3	1	1.000000
0	3	2	1.000000
0	3	3	1.000000
1	0	0	0.996845
1	1	0	0.996845
1	2	0	0.996845
1	3	0	0.996845
2	0	0	0.996845
2	1	0	0.996845
2	2	0	0.996845
2	3	0	0.996845
3	0	0	0.996845
3	1	0	0.996845
3	2	0	0.996845
3	3	0	0.996845
1	0	2	0.446372
1	1	1	0.186120
1	2	1	0.342271
1	0	3	0.446372
1	0	1	0.446372
1	1	2	0.115142
1	1	3	0.115142
2	0	3	0.446372
2	2	1	0.317035
2	1	1	0.189274
2	3	1	0.460568
3	2	1	0.354890
3	3	1	0.500000
2	2	2	0.186120
3	2	2	0.148265
1	3	1	0.487382
2	1	2	0.086751
3	3	2	0.170347
2	3	2	0.201893
2	2	3	0.108833
3	3	3	0.186120
1	2	2	0.225552
3	1	1	0.239748
3	2	3	0.088328
2	1	3	0.082019
2	0	2	0.446372
2	0	1	0.481073
3	0	2	0.441640
3	0	1	0.511041
1	2	3	0.223975
1	3	2	0.386435
3	1	2	0.118297
2	3	3	0.192429
3	0	3	0.446372
3	1	3	0.093060
1	3	3	0.356467
